Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start,found_match
Bruno Ganz,1941-03-22,M,1.68,,62.0,4.592556452609007,Male,Did not go,,,Zürich Switzerland,1941-03-22,,1.0,1960.0,False
Anna Maria Horsford,1948-03-06,F,1.73,African Americans,39.0,4.592439553092925,Female,Did not go,Yes,,New York City US,,,,1968.0,False
Sammi Hanratty,1995-09-20,F,1.37,,11.0,4.59216786699385,Female,Did not go,,,Scottsdale Arizona US,1995-09-20,,,2005.0,False
Lindsay Sloane,1977-08-08,F,1.62,Jewish people,25.0,4.592116095229036,Female,Did not go,,,Long Island New York US,1977-08-08,,2.0,1990.0,False
Izabella Miko,1981-01-21,F,1.63,,19.0,4.592079989509286,Female,sub 1500 school,,Ballet,Łódź Poland,1981-01-21,,,1988.0,False
Noah Munck,1996-05-03,M,1.83,,15.0,4.59186757110176,Male,sub 1500 school,,,Mission Viejo California US,1996-05-03,,,2007.0,False
Matthew J. Evans,1996-08-09,M,1.73,White people,14.0,4.59186757110176,,Did not go,,,,,,,,False
Season Hubley,1951-03-14,F,1.65,,30.0,4.591594133832425,Female,Did not go,,,New York City US,1951-03-14,,1.0,1972.0,False
Kevin McDonald,1961-05-16,M,1.82,,39.0,4.591519975773033,Male,Did not go,,,Montreal Quebec Canada,1961-05-16,,,1987.0,False
Moira Kelly,1968-03-06,F,1.62,Irish Americans,22.0,4.591242540910926,Female,sub 1500 school,,,Queens New York US,1968-03-06,,2.0,1988.0,False
Lauren Ambrose,1978-02-20,F,1.664,,19.0,4.590728778310868,Female,Did not go,Yes,,New Haven Connecticut US,1978-02-20,,2.0,1990.0,False
Jill Clayburgh,1944-04-30,F,1.727,Jewish people,48.0,4.590669359417453,Female,sub 1500 school,Yes,,New York City US,1944-04-30,,2.0,1968.0,False
Allison Miller,1985-09-02,F,1.5,,23.0,4.590601065576085,Female,Did not go,Yes,Dance,Rome Italy,1985-09-02,,,2006.0,False
Sterling Knight,1989-03-05,M,1.8,,20.0,4.590601065576085,Male,Did not go,,Track,Hilton Head Island South Carolina US,1989-03-05,,,2005.0,False
Julia Sweeney,1959-10-10,F,1.72,,42.0,4.590266653385531,Female,University of Washington,,,Spokane Washington US,1959-10-10,,1.0,1988.0,True
Shanna Forrestall,,F,1.65,,,4.590161886683305,,Did not go,,,,,,,,False
Ashley Bell,1986-05-26,F,1.6,,,4.590161886683305,,Did not go,,,,,,,,False
Linda Cardellini,1975-06-25,F,1.6,Irish Americans,22.0,4.589733332541398,Female,sub 1500 school,Yes,,Redwood City California US,1975-06-25,,1.0,1996.0,False
Lyle Lovett,1957-11-01,M,1.83,,34.0,4.589636780736365,Male,Did not go,,,Houston,1957-11-01,,,1980.0,False
Eva Marie Saint,1924-07-04,F,1.63,,80.0,4.589178507707083,Female,sub 1500 school,Yes,,Newark New Jersey US,1924-07-04,,2.0,1944.0,False
Tom Hollander,1967-08-25,M,1.651,English people,33.0,4.5888672431984405,Male,University of Cambridge,Yes,,Bristol England UK,1967-08-25,,1.0,1981.0,True
James Lipton,1926-09-19,M,1.75,,78.0,4.588449313950935,Male,Specialised Drama School,Yes,Ballet,Detroit Michigan US,1926-09-19,,,1944.0,False
Shannon Lee,1969-04-19,F,1.75,Swedish Americans,29.0,4.588392742021274,Male,Did not go,,Martial arts,Santa Monica California United States,1969-04-19,,1.0,1993.0,False
Arly Jover,1971-02-02,F,1.78,Spaniards,27.0,4.588392742021274,Female,Did not go,,Ballet,Melilla Spain,1971-02-02,,1.0,1994.0,False
Kristin Bauer,1966-11-26,F,1.75,,37.0,4.588299976494501,Female,The New School,,Dance,Racine Wisconsin US,,,,1993.0,True
Hamish Linklater,1976-07-07,M,1.93,,28.0,4.588173634321636,Male,sub 1500 school,Yes,,New York City New York US,1976-07-07,,4.0,2000.0,False
Sophia Loren,1934-09-20,F,1.74,Italians,61.0,4.587056957423703,Female,Specialised Acting School,,,Rome Kingdom of Italy,1934-09-20,ItalyFrance,,1950.0,False
Kevin J. O%27Connor,1963-11-15,M,1.85,,22.0,4.586702247029674,,Did not go,,,,,,,,False
Sally Kellerman,1937-06-02,F,1.78,,49.0,4.586477760635385,Female,sub 1500 school,,Track,Long Beach California US,1937-06-02,,3.0,1957.0,False
Javier Cámara,1967-01-19,M,1.71,Spaniards,37.0,4.586025245153574,Male,sub 1500 school,Yes,,Albelda de Iregua Spain,1967-01-19,,,1991.0,False
Leonor Watling,1975-07-28,F,1.6,,28.0,4.586025245153574,Female,Did not go,Yes,Dance,Madrid Spain,1975-07-28,,,1993.0,False
Michael Michele,1966-08-30,F,1.74,African Americans,30.0,4.5857849914562285,Female,Did not go,,Basketball,Evansville Indiana US,1966-08-30,,1.0,1986.0,False
Wendell Pierce,1962-12-08,M,1.73,African Americans,31.0,4.585780136717338,Male,Specialised Music School,,,New Orleans Louisiana US,1962-12-08,,,1985.0,False
Erika Christensen,1982-08-19,F,1.65,Welsh people,20.0,4.585738160118352,Male,Did not go,,,Seattle Washington US,1982-08-19,,2.0,1997.0,False
Richard Bakalyan,1931-01-29,M,1.7,,50.0,4.585627399923855,Male,Did not go,,,Watertown Massachusetts US,1931-01-29,,,1954.0,False
Jack Albertson,1907-06-16,M,1.8,Jewish people,74.0,4.585627399923855,Male,Did not go,,Dance,Malden Massachusetts US,"1907
-06-16",,1.0,1926.0,False
Grand L. Bush,1955-12-24,M,1.82,African Americans,31.0,4.585232271693202,Male,Did not go,Yes,,Los Angeles California US,1955-12-24,,,1976.0,False
Ben Davidson,1940-06-14,M,2.03,,41.0,4.583686937640348,Male,Did not go,,Football,Los Angeles,1940-06-14,,,,False
Cassandra Gava,1959-04-28,F,1.67,,22.0,4.583686937640348,Female,Did not go,,,San Francisco California US,1959-04-28,,,1963.0,False
Earl Hindman,1942-10-20,M,1.9,,38.0,4.583668976922904,Male,Did not go,,,Bisbee Arizona US,1942-10-20,,,1968.0,False
Assaf Cohen,1972-10-31,M,1.8,,32.0,4.583606923337464,Male,HSE University,Yes,,Mountain View California US,1972-10-31,,,2002.0,True
Chad Lindberg,1976-11-01,M,1.8,,21.0,4.583318899393612,Male,Did not go,,Dance,Mount Vernon Washington US,1976-11-01,,,1985.0,False
Mia Amber Davis,1975-07-25,F,1.83,,24.0,4.582579705310731,,Did not go,,,,,,,,False
Wilford Brimley,1934-09-27,M,1.73,,47.0,4.582346198499089,,Did not go,Yes,,Salt Lake City Utah US,1934-09-27,,4.0,1967.0,False
Jerry Ferrara,1979-11-25,M,1.626,,32.0,4.582293831454341,Male,Did not go,Yes,,New York City US,1979-11-25,,2.0,2000.0,False
Alani Vasquez,1979-06-25,F,1.68,,32.0,4.582293831454341,Female,Did not go,,,New York City US,,,,1996.0,False
Julie Kavner,1950-09-07,F,1.7,,35.0,4.581885954313224,Female,San Diego State University,,,Los Angeles California US,1950-09-07,,,1973.0,True
Antwon Tanner,1975-04-14,M,1.68,African Americans,24.0,4.5815711654800175,Male,Did not go,,,Chicago Illinois US,1975-04-14,,4.0,1994.0,False
Terrence J,1982-04-21,M,1.77,,28.0,4.581418721340225,Male,sub 1500 school,,,Queens New York US,1982-04-21,,,1996.0,False
Bianca Kajlich,1977-03-26,F,1.73,,22.0,4.580745825652041,Female,Did not go,Yes,Ballet,Seattle Washington US,1977-03-26,,1.0,1999.0,False
Lyndsy Fonseca,1987-01-07,F,1.65,Portuguese Americans,23.0,4.579993395318875,Female,Did not go,,,Oakland California US,1987-01-07,,2.0,2000.0,False
Michael Pitt,1981-04-10,M,1.8,,17.0,4.579787186973551,Male,Did not go,,,West Orange New Jersey US,1981-04-10,,,1997.0,False
Gabriel MacHt,1972-01-22,M,1.84,,27.0,4.57976495940855,,Did not go,,,,,,,,False
Leila Arcieri,1973-12-18,F,1.63,Italian Americans,28.0,4.579625012653295,Female,Did not go,,,San Francisco California,1973-12-18,,,1999.0,False
Nick Jonas,1992-09-16,M,1.75,Irish Americans,16.0,4.579522415390821,Male,Did not go,,,Dallas Texas US,1992-09-16,,1.0,1999.0,False
Joe Jonas,1989-08-15,M,1.73,Irish Americans,19.0,4.579522415390821,Male,Did not go,,,Casa Grande Arizona US,1989-08-15,,2.0,2002.0,False
William Devane,1937-09-05,M,1.778,,43.0,4.5793749106576245,Male,Specialised Drama School,,,Albany New York US,1939-09-05,,2.0,1966.0,False
Todd Phillips,1970-12-20,M,1.82,,39.0,4.579164969357928,Male,New York University (NYU),Yes,Dance,New York City US,1970-12-19,,,1993.0,True
"Harry Shum, Jr.",1982-04-28,M,1.8,,24.0,4.579013245894683,Male,Did not go,Yes,Dance,Limón Costa Rica,1982-04-28,,1.0,2000.0,False
Jasmine Waltz,1982-08-22,F,1.68,,20.0,4.57810571630855,Female,Did not go,,,Las Vegas Nevada United States,1982-08-22,American,,2003.0,False
Jason Manuel Olazabal,1973-10-14,M,1.87,,29.0,4.57810571630855,Male,Did not go,,,Santa Maria California US,1973-10-14,,,2001.0,False
Miranda Raison,1980-11-18,F,1.651,,24.0,4.577966282570803,Female,Did not go,Yes,,Burnham Thorpe Norfolk England,,,2.0,1999.0,False
Mark Webber,1980-07-19,M,1.82,,18.0,4.577706765065445,,Did not go,,,,,,,,False
Lindy Booth,1979-04-02,F,1.702,,24.0,4.577591617639039,Female,Did not go,,,Oakville Ontario Canada,1979-04-02,,,1998.0,False
Frank Miller,1957-01-27,M,1.86,,30.0,4.577560886801209,,Did not go,,,Olney Maryland,1957-01-27,,,,False
Bill Irwin,1950-04-11,M,1.82,,38.0,4.577510355725353,Male,Did not go,,,Santa Monica California US,1950-04-11,,1.0,1974.0,False
Lisa Edelstein,1967-05-21,F,1.68,Jewish people,23.0,4.577449963933349,Female,New York University (NYU),,,Boston Massachusetts US,1966-05-21,,,1990.0,True
Annabella Sciorra,1960-03-29,F,1.57,,29.0,4.577326544947838,Female,Specialised Drama School,,Dance,New York City New York USa,1960-03-29,,,1988.0,False
Adrian Kali Turner,1997,M,1.45,,14.0,4.57717374934836,,Did not go,,,,,,,,False
Leonardo Nam,1979-11,M,1.753,Koreans,,4.577117197217772,Male,The University of New South Wales (UNSW Sydney),,,Buenos Aires Argentina,1979-11-05,United States1,2.0,2001.0,True
David Benger,1991-04-27,M,1.57,,,4.575992482239309,,Did not go,,,,,,,,False
Charlie O%27Connell,1975-04-21,M,1.91,,23.0,4.5755778456547,Male,Did not go,,,New York City US,1975-04-21,,,1998.0,False
Nicol Williamson,1936-09-14,M,1.88,,44.0,4.575494439791343,Male,Did not go,,,Hamilton Lanarkshire Scotland,1936-09-14,,1.0,1956.0,False
Dominic Purcell,1970-02-17,M,1.88,Australians,30.0,4.575282742035266,Male,Did not go,Yes,,Birkenhead Cheshire England,1970-02-17,AustraliaUnited KingdomIreland,4.0,1991.0,False
Gregory Smith,1983-07-06,M,1.79,Canadian Americans,13.0,4.575144995028057,,Did not go,,,,,,,,False
Robert Smigel,1960-02-07,M,1.8,,36.0,4.574947529999334,Male,Cornell University,,,New York City New York US,1960-02-07,,3.0,1985.0,True
Derek Mears,1972-04-29,M,1.96,,34.0,4.5747480900009885,Male,Did not go,,,Bakersfield California US,1972-04-29,,,1995.0,False
Schuyler Fisk,1982-07-08,F,1.65,,13.0,4.574384785851838,Female,University of Virginia,Yes,,Los Angeles California US,1982-07-08,,,1990.0,True
Mark Heap,1957-05-13,M,1.83,,49.0,4.574247349888086,Male,Did not go,Yes,,Kodaikanal Tamil Nadu India,1957-05-13,,,1983.0,False
Anthony Kiedis,1962-11-01,M,1.74,Lithuanian Americans,28.0,4.573612746241796,,Did not go,,Swimming,Grand Rapids Michigan US,1962-11-01,,1.0,1983.0,False
Mary Jo Catlett,1938-09-02,F,1.78,,43.0,4.573342763345748,Female,Colorado School of Mines,Yes,,Denver Colorado US,1938-09-02,,,1961.0,True
Corbin Bleu,1989-02-21,M,1.8,Italian Americans,10.0,4.572855770330749,Male,Did not go,Yes,Ballet,Brooklyn New York US,1989-02-21,,,2006.0,False
Andreas Katsulas,1946-05-18,M,1.83,,41.0,4.571943679282479,Male,Did not go,Yes,,St Louis Missouri US,1946-05-18,,,1960.0,False
Farrah Fawcett,1947-02-02,F,1.69,,34.0,4.571564721855027,Female,Did not go,,,Corpus Christi Texas US,1947-02-02,,1.0,1969.0,False
Alan Young,1919-11-19,M,1.78,,66.0,4.57151361669341,Male,Did not go,Yes,Dance,North Shields Northumberland England,1919-11-19,United Kingdom 19192016Canada 19252016United States 19442016,4.0,1939.0,False
Lynn Whitfield,1953-05-06,F,1.613,,34.0,4.571418001046947,Female,Howard University,Yes,,Baton Rouge Louisiana US,1953-02-15,,1.0,1977.0,True
Lily Collins,1989-03-18,F,1.65,,20.0,4.5712302587329,Female,Did not go,,,Guildford Surrey England,1989-03-18,United KingdomUnited States,,1991.0,False
Ken Davitian,1953-06-19,M,1.65,Armenian Americans,49.0,4.570932137620271,Male,Did not go,,,Los Angeles California US,1953-06-19,,,1975.0,False
Jay Underwood,1968-10-01,M,1.77,,20.0,4.570755616751126,Male,Did not go,,,Minneapolis Minnesota United States,1968-10-01,,,1986.0,False
Anna Chlumsky,1980-12-03,F,1.57,,8.0,4.570755616751126,Female,University of Chicago,Yes,,Chicago Illinois US,1980-12-03,,2.0,1989.0,True
David Kaye,1964-10-14,M,1.82,,36.0,4.570408203696166,,Did not go,,,,,,,,False
Robert Hays,1947-07-24,M,1.87,,32.0,4.569358730977355,Male,Did not go,,,Bethesda Maryland US,1947-07-24,,1.0,1975.0,False
Jacob Smith,1990-01-21,M,1.73,,8.0,4.568662811959302,,Did not go,,,,,,,,False
June Carter Cash,1929-06-23,F,1.66,,68.0,4.568629523805847,Female,Did not go,Yes,Dance,Maces Spring Virginia,1929-06-23,,,1939.0,False
Misha Collins,1974-08-20,M,1.8,,25.0,4.568218730437346,Male,University of Chicago,,,Boston Massachusetts US,1974-08-20,,2.0,1998.0,True
Jesse Ventura,1951-07-15,M,1.93,Slovak Americans,35.0,4.5681810516667465,Male,sub 1500 school,,,,1951-07-15,,2.0,,False
Scott Mechlowicz,1981-01-17,M,1.829,Jewish people,22.0,4.567601384025775,Male,California State University - Los Angeles,Yes,,New York City US,1981-01-17,,2.0,2003.0,True
Frankie Faison,1949-06-10,M,1.88,African Americans,32.0,4.567376028195686,Male,York University,,,Newport News Virginia US,1949-06-10,,3.0,1974.0,True
Bill Bailey,1964-02-24,M,1.69,English people,35.0,4.567213566567124,Male,Specialised Music School,,,Bath,1965-01-13,,1.0,1989.0,False
Joss Ackland,1928-02-29,M,1.829,English people,59.0,4.567100562200795,Male,Specialised Drama School,,,North Kensington London England,1928-02-29,,7.0,1945.0,False
Danny Woodburn,1964-07-26,M,1.21,,35.0,4.566881950523105,Male,Temple University,Yes,,Philadelphia Pennsylvania US,1964-07-26,,,1985.0,True
Bolo Yeung,1946-07-03,M,1.68,,41.0,4.566832376255355,Male,Did not go,,Martial arts, Guangdong,1946-07-03,,3.0,1970.0,False
Walter Matthau,1920-10-01,M,1.892,Jewish people,61.0,4.566068428643248,Male,Did not go,Yes,,New York City US,1920-10-01,,3.0,1948.0,False
Irene Bedard,1967-07-22,F,1.53,Iñupiaq people,27.0,4.565601826690451,Male,Did not go,Yes,,Anchorage Alaska US,1967-07-22,,1.0,1994.0,False
Harley Jane Kozak,1957-01-28,M,1.75,,32.0,4.5652536215325,Female,York University,,,WilkesBarre Pennsylvania US,1957-01-28,,3.0,1981.0,True
Sean Huze,1975-01-18,M,1.77,,35.0,4.565037662933227,Male,Did not go,,,Greenwood Mississippi US,1975-01-18,,,,False
Russell Means,1939-11-10,M,1.854,Indigenous peoples of the Americas,52.0,4.5639077239040695,Male,Did not go,,,Porcupine Pine Ridge Indian Reservation US,1939-11-10,,10.0,1968.0,False
Justin Chambers,1970-07-11,M,1.8,German Americans,30.0,4.563775727471911,Male,Did not go,,,Springfield Ohio US,1970-07-11,,5.0,1995.0,False
Nikki Blonsky,1988-11-09,F,1.47,Jewish people,18.0,4.563731818354768,Male,Did not go,Yes,,Great Neck New York US,1988-11-09,,,2007.0,False
Nick Loren,1970-12-14,M,1.83,,36.0,4.563731818354768,Male,Did not go,,,San Diego CA US,1970-12-14,,,1996.0,False
Sebastian Roché,1964-08-04,M,1.8,,47.0,4.563666974545089,Male,Specialised Drama School,Yes,,Paris France,1964-08-04,,,1986.0,False
Tanit Phoenix,1984-09-24,F,1.74,,27.0,4.563666974545089,Female,Did not go,,,Durban KwaZuluNatal South Africa,1980-09-24,,1.0,2005.0,False
Richard Brake,1964-11-30,M,1.88,Welsh Americans,39.0,4.563459737054398,Male,Duke University,,Dance,Ystrad Mynach Glamorgan Wales,1964-11-30,,,1993.0,True
Jessica Alba,1981-04-28,F,1.7,,17.0,4.563410177895719,Female,Did not go,Yes,,Pomona California US,1981-04-28,,3.0,1992.0,False
Patti D%27Arbanville,1951-05-25,F,1.63,,30.0,4.563201110074179,Female,Did not go,,,New York City US,1951-05-25,,4.0,1968.0,False
Redman,1970-04-17,M,1.85,,18.0,4.562906362750486,,Did not go,,,,,,,,False
Brittany Daniel,1976-03-17,F,1.7,,19.0,4.562860860195054,Female,Did not go,,Basketball,Gainesville Florida US,1976-03-17,,1.0,1989.0,False
Joe Chrest,,M,1.85,,,4.562802311750316,Male,Did not go,Yes,,Saint Albans West Virginia US,1963-05-26,,2.0,1993.0,False
Dave Grohl,1969-01-14,M,1.83,,37.0,4.56248973580689,Male,Did not go,,,Warren Ohio US,1969-01-14,,4.0,1983.0,False
Brian McGovern,,M,1.9,,,4.561936299397816,,Did not go,,,,,,,,False
Kelly Ripa,1970-10-02,F,1.6,Italian Americans,26.0,4.561425845902747,Female,Did not go,Yes,Dance,Berlin New Jersey US,1970-10-02,,3.0,1986.0,False
Lisa Ann Walter,1963-08-03,F,1.63,,32.0,4.561339770499701,Male,sub 1500 school,Yes,Dance,Silver Spring Maryland US,1963-08-03,,4.0,1995.0,False
Kaley Cuoco,1985-11-30,F,1.7,,9.0,4.561292714468363,Female,Did not go,,Tennis,Camarillo California US,1985-11-30,,1.0,1992.0,False
George Martin,1926-01-03,M,1.88,English people,58.0,4.5608782095322375,Male,Specialised Drama School,,,Highbury London England,1926-01-03,,4.0,1950.0,False
Pamela Salem,1950-01-22,F,1.676,,32.0,4.560802145268012,Female,Specialised Drama School,,,Bombay Bombay Province British Raj,1944-01-22,,,,False
Lorne Cardinal,1964-01-06,M,1.8,Cree,38.0,4.560338498155697,Male,University of Alberta,Yes,,Sucker Creek Alberta Canada,1964-01-06,,,1994.0,True
Shaun White,1986-09-03,M,1.73,White people,24.0,4.559860929160597,Male,Did not go,,,,1986-09-03,,,,False
Marcia Bennett,,F,1.63,,,4.559635579563735,,Did not go,,,,,,,,False
David Suchet,1946-05-02,M,1.7,English people,36.0,4.559524352271419,Male,Specialised Drama School,Yes,,Paddington London England1,1946-05-02,,2.0,1969.0,False
James Ransone,1979-06-02,M,1.75,,32.0,4.5590478769607,Male,Did not go,,,Baltimore Maryland US,1979-06-02,,1.0,2001.0,False
Sean Faris,1982-03-25,M,1.83,,22.0,4.55886424335964,Male,Did not go,,,Houston Texas US,1982-03-25,,1.0,2001.0,False
Ashley Hamilton,1974-09-30,M,1.93,,19.0,4.558715305043978,Male,Did not go,,Track,Los Angeles California US,1974-09-30,,1.0,1993.0,False
Nicholle Tom,1978-03-23,F,1.71,,15.0,4.558715305043978,Female,Did not go,,,Hinsdale Illinois US,1978-03-23,,,1990.0,False
Tyler Hoechlin,1987-09-11,M,1.83,,14.0,4.558709960599574,,Did not go,,,Corona California US,1987-09-11,,,1998.0,False
Li Bingbing,1973-02-27,F,1.65,,35.0,4.558651791911438,Female,Specialised Drama School,Yes,,Wuchang Heilongjiang China,1973-02-27,,,1994.0,False
Ming-Na,1963-11-20,F,1.63,Chinese Americans,29.0,4.558596862962356,Female,Carnegie Mellon University,Yes,,Coloane Portuguese Macau,1963-11-20,United States,2.0,1985.0,True
Richard Masur,1948-11-20,M,1.85,,31.0,4.558306784331607,Male,Yale University,,,New York City US,1948-11-20,,,1974.0,True
Gedde Watanabe,1955-06-26,M,1.702,,28.0,4.55825527385351,Male,Specialised Drama School,Yes,,Ogden Utah US,1955-06-26,,,1976.0,False
Miles Teller,1987-02-20,M,1.83,,23.0,4.558133868112169,Male,York University,Yes,Baseball,Downingtown Pennsylvania US,1987-02-20,,,2004.0,True
Mariska Hargitay,1964-01-23,F,1.721,German Americans,27.0,4.557964840843104,Female,California State University - Los Angeles,Yes,,Santa Monica California US,1964-01-23,,3.0,1984.0,True
Grace Jones,1948-05-19,F,1.753,,36.0,4.557599449439443,Female,sub 1500 school,,,Spanish Town Saint Catherine Crown Colony of Jamaica,1948-05-19,"Jamaica, United States1",1.0,1973.0,False
Alyson Hannigan,1974-03-24,F,1.65,Irish Americans,14.0,4.557585387427733,,sub 1500 school,,,Washington DC US,1974-03-24,,2.0,1986.0,False
George Kennedy,1925-02-18,M,1.9,,59.0,4.557412038369329,Male,Did not go,,Ballet,New York City US,1925-02-18,,6.0,1956.0,False
Terry Farrell,1963-11-19,F,1.82,,22.0,4.55733850853504,,Did not go,,,,,,,,False
Josh Mostel,1946-12-21,M,1.75,,35.0,4.55649506282006,Male,Did not go,,Dance,New York City US,1946-12-21,,,1971.0,False
Wil Wheaton,1972-07-29,M,1.8,,9.0,4.556432856305947,Male,Did not go,,,Burbank California,1972-07-29,,2.0,1980.0,False
Mike Binder,1958-06-02,M,1.72,,42.0,4.556425766970079,Male,Did not go,,Dance,Detroit Michigan US,1958-06-02,,2.0,,False
Ethan Hawke,1970-11-06,M,1.79,White Americans,14.0,4.556140903737927,Male,Carnegie Mellon University,Yes,,Austin Texas US,1970-11-06,,4.0,1985.0,True
Jamal Duff,1979-02-19,M,2.03,,28.0,4.555763282083778,Male,Did not go,,Football,Columbus Ohio,1972-03-11,,,,False
Lauren Storm,1987-01-02,F,1.6,Jewish people,20.0,4.555763282083778,Female,Did not go,,,Chicago Illinois US,1987-01-02,,,2001.0,False
Gary Stretch,1968-11-04,M,1.829,British,36.0,4.555744305617018,Male,Did not go,,,St Helens Lancashire England,1965-11-04,,,,False
Joan Rivers,1933-06-08,F,1.575,Jewish people,54.0,4.554766367387028,Female,sub 1500 school,,,Brooklyn,1933-06-08,,,1957.0,False
Gaius Charles,1983-05-02,M,1.8,African Americans,25.0,4.554444672294742,Male,Carnegie Mellon University,Yes,,Manhattan New York US,1983-05-02,,,2006.0,True
Jon Bernthal,1976-09-20,M,1.78,,29.0,4.553880276180722,Male,Harvard University,Yes,Baseball,Washington DC US,1976-09-20,,3.0,2002.0,True
Hannah Taylor-Gordon,1987-03-06,F,1.74,Jewish people,7.0,4.553190471799455,Female,Specialised Drama School,,,London England,1987-03-06,,,,False
Martin Donovan,1957-08-19,M,1.85,Irish Americans,42.0,4.553099456659457,Male,Did not go,Yes,,Reseda California US,1957-08-19,,2.0,1982.0,False
Sage Stallone,1976-05-05,M,1.78,,14.0,4.553051888469295,Male,Specialised Arts School,,,Los Angeles California US,1976-05-05,,,1990.0,False
Tim Kang,1973-03-16,M,1.791,Korean Americans,31.0,4.55301582456815,Male,Harvard University,Yes,,San Francisco California US,1973-03-16,,1.0,2002.0,True
Judd Hirsch,1935-03-15,M,1.829,Jewish people,45.0,4.552523420628138,Male,Specialised Drama School,Yes,,New York City US,1935-03-15,,3.0,1959.0,False
Mary Stavin,1957-08-20,F,1.72,,27.0,4.552468715718114,Female,Did not go,,Football,Örebro County Sweden,1957-08-20,,1.0,1981.0,False
Kaya Scodelario,1992-03-13,F,1.68,British,16.0,4.55229867859288,Female,Did not go,,Dance,Haywards Heath West Sussex England,1992-03-13,,2.0,2006.0,False
Charlie Day,1976-02-09,M,1.69,,26.0,4.552197583626131,Male,sub 1500 school,Yes,,New York City US,1976-02-09,,1.0,1997.0,False
Leah Remini,1970-06-15,F,1.6,,32.0,4.55216663161916,,York University,,,New York City US,1970-06-15,,1.0,1988.0,True
Kathleen Quinlan,1954-11-19,F,1.65,,33.0,4.551801367773457,Female,Did not go,,,Pasadena California US,1954-11-19,,1.0,1972.0,False
Will Yun Lee,1971-05-22,M,1.75,Korean Americans,31.0,4.551652627674648,Male,"University of California, Berkeley (UCB)",,,Arlington Virginia US,1971-03-22,,1.0,1997.0,True
Jane Asher,1946-04-05,F,1.65,,60.0,4.551470185894327,Female,Did not go,Yes,,Willesden Middlesex England,1946-04-05,,3.0,1952.0,False
Seth Meyers,1973-12-28,M,1.83,Jewish people,34.0,4.551206545641817,Male,Northwestern University,,,Evanston Illinois,1973-12-28,,3.0,2001.0,True
Mara Wilson,1987-07-24,F,1.63,,6.0,4.550837798781321,Female,York University,Yes,,Burbank California US,1987-07-24,,,1993.0,True
Kim Coates,1959-01-02,M,1.88,Canadian Americans,32.0,4.550626047339402,Male,Did not go,,,Saskatoon Saskatchewan Canada,1958-02-21,"Canadian, American",2.0,1986.0,False
Lachy Hulme,1971-04-01,M,1.91,,31.0,4.54939288219815,Male,Did not go,Yes,,Melbourne Victoria Australia,1971-04-01,,,1992.0,False
P. J. Soles,1950-07-17,F,1.7,,30.0,4.5492758352336455,Female,Georgetown University,,Track,Frankfurt West Germany,1950-07-17,,2.0,1973.0,True
Ron Rifkin,1939-10-31,M,1.74,,52.0,4.548997701670443,Male,Did not go,Yes,,New York City US,1939-10-31,,,1966.0,False
Lee Thompson Young,1984-02-01,M,1.72,African Americans,20.0,4.548952025709482,Male,University of Southern California,Yes,,Columbia South Carolina US,1984-02-01,,,1998.0,True
Jessica Parker Kennedy,1984-10-03,F,1.57,,26.0,4.548729028994542,Female,Did not go,,,Calgary Alberta Canada,1987-10-03,,1.0,2006.0,False
Stephanie Beard,1981-08-27,F,1.49,,30.0,4.548729028994542,Female,Did not go,,,Scarborough Ontario Canada,,,,1999.0,False
Jim Jarmusch,1953-01-22,M,1.88,Irish Americans,42.0,4.5485377889477645,,Columbia University,Yes,,Cuyahoga Falls Ohio US,1953-01-22,,,1979.0,True
Charlotte Gainsbourg,1971-07-21,F,1.73,,32.0,4.548383916884712,Female,Did not go,,,Marylebone London England,1971-07-21,"France, United Kingdom1",3.0,1984.0,False
Colin Ford,1996-09-12,M,1.69,,15.0,4.548359957557119,Male,Did not go,,,Nashville Tennessee US,1996-09-12,,,2001.0,False
Desi Lydic,1981-06-30,F,1.7,,30.0,4.548359957557119,Female,Did not go,,Dance,Louisville Kentucky US,1981-06-30,,1.0,2001.0,False
Flex Alexander,1970-04-15,M,1.91,African Americans,30.0,4.548085719010945,Male,Did not go,,Dance,New York City US,1970-04-15,,2.0,1989.0,False
Moran Atias,1981-04-09,F,1.75,Jewish people,29.0,4.547964249970771,Female,Did not go,,,Haifa Israel,1981-04-09,IsraelUnited States,1.0,,False
Richard Coyle,1972-02-27,M,1.82,Irish people,34.0,4.547900381343182,Male,Did not go,,,Sheffield England1,1972-02-27,,1.0,1998.0,False
Werner Daehn,1967-10-14,M,1.82,,34.0,4.547844349488028,Male,Did not go,,,Worms am Rhein West Germany,1967-10-14,,,1993.0,False
Mario López,1973-10-10,M,1.8,Mexican Americans,14.0,4.546633778213818,Male,Did not go,,Dance,Chula Vista California US,1973-10-10,,3.0,1984.0,False
Bryan Callen,1967-01-26,M,1.8,Irish Americans,44.0,4.546571915959013,Male,American University,,,Manila,1967-01-26,,,1995.0,True
Kurt Angle,1968-12-09,M,1.83,White people,42.0,4.546571915959013,Male,University of Pennsylvania,,Football,Mt Lebanon Pennsylvania,1968-12-09,,5.0,2020.0,True
Vanessa Martinez,1979-06-19,F,1.47,,32.0,4.546571915959013,,Did not go,,,,,,,,False
