,Actor name,Gender,Height,Ethnicity,Age at First Release,Success Score,University,Theater,Sports,Birth City,Citizenship,Number of Children,Birth Year,Birth Month,QS University Rank,Ranked Uni,Usable Uni Rank,Specialised Drama School,Specialised Acting School,Specialised Dance School,Specialised Arts School,Birth Region
2451,Jason Hervey,M,1.63,,13.0,4.613524005799955,Did not go,False,No Sports,Los Angeles California US,,4.0,1972.0,April,Not Ranked,0,3000,0,0,0,0,USA
2452,Michael K. Williams,M,1.8,African Americans,40.0,4.613338700245275,Colorado School of Mines,True,No Sports,New York City New York US,,3.0,1966.0,November,465,1,465,0,0,0,0,USA
2453,Nicholas Turturro,M,1.727,,28.0,4.613316831793192,Did not go,False,No Sports,New York City US,,,1962.0,January,Not Ranked,0,3000,0,0,0,0,USA
2454,Howie Mandel,M,1.78,Jewish people,28.0,4.613025055164555,Did not go,False,No Sports,Toronto Ontario,,3.0,1955.0,November,Not Ranked,0,3000,0,0,0,0,Rest of World
2455,Clint Howard,M,1.689,Scottish people,26.0,4.6126802753118605,Did not go,False,No Sports,Burbank California US,,,1959.0,April,Not Ranked,0,3000,0,0,0,0,USA
2456,Megan McKinnon,F,1.62,,9.0,4.61245057111709,Did not go,False,No Sports,Lindsay Ontario Canada,,,1996.0,May,Not Ranked,0,3000,0,0,0,0,Rest of World
2457,Brenda Campbell,F,1.62,,38.0,4.61245057111709,Did not go,False,No Sports,,,,1967.0,April,Not Ranked,0,3000,0,0,0,0,
2458,James Garner,M,1.87,White Americans,57.0,4.61227214935558,University of Oklahoma,False,Football,Denver Oklahoma now part of Norman Oklahoma US,,2.0,1928.0,April,641,1,641,0,0,0,0,USA
2459,Keegan Connor Tracy,F,1.613,,28.0,4.612217047266799,sub 1500 school,False,No Sports,Windsor Ontario Canada,,2.0,1971.0,December,Not Ranked,0,3000,0,0,0,0,Rest of World
2460,Perrey Reeves,F,1.65,,20.0,4.612181596624002,sub 1500 school,False,No Sports,New York City US,,1.0,1970.0,November,Not Ranked,0,3000,0,0,0,0,USA
2461,Lola Falana,F,1.651,African Americans,42.0,4.611949513872088,Did not go,True,Dance,Camden New Jersey US,,,1942.0,September,Not Ranked,0,3000,0,0,0,0,USA
2462,Wolfgang Puck,M,1.72,White people,62.0,4.61138159882554,Did not go,False,No Sports,Sankt Veit an der Glan Austria,,4.0,1949.0,July,Not Ranked,0,3000,0,0,0,0,USA
2463,Victor Pagan,M,1.68,,,4.61138159882554,Did not go,False,No Sports,,,,,,Not Ranked,0,3000,0,0,0,0,
2464,Erykah Badu,F,1.52,African Americans,26.0,4.61133927432132,Did not go,True,Dance,Dallas Texas US,,3.0,1971.0,February,Not Ranked,0,3000,0,0,0,0,USA
2465,Omar Sharif,M,1.8,,49.0,4.611038537159113,Cairo University,False,No Sports,Alexandria Kingdom of Egypt,,1.0,1932.0,April,371,1,371,0,0,0,0,Rest of World
2466,Jason Patric,M,1.78,Irish Americans,20.0,4.611018051608,Did not go,False,No Sports,New York City US,,1.0,1966.0,June,Not Ranked,0,3000,0,0,0,0,USA
2467,Jim Brown,M,1.88,African Americans,51.0,4.6106158863221856,sub 1500 school,False,Football,St Simons Georgia,,,1936.0,February,Not Ranked,0,3000,0,0,0,0,Rest of World
2468,Jennifer Rubin,F,1.75,,24.0,4.610506444722667,Did not go,False,No Sports,,,,1962.0,April,Not Ranked,0,3000,0,0,0,0,
2469,Ja Rule,M,1.68,African Americans,25.0,4.610347257394476,Did not go,False,No Sports,Queens New York City,,3.0,1976.0,February,Not Ranked,0,3000,0,0,0,0,USA
2470,Roma Maffia,F,1.778,African Americans,36.0,4.610183805128506,Did not go,False,No Sports,New York New York US,,,1958.0,May,Not Ranked,0,3000,0,0,0,0,USA
2471,Larry Cedar,M,1.82,,49.0,4.610176291543342,Did not go,False,No Sports,,,,1955.0,March,Not Ranked,0,3000,0,0,0,0,
2472,Thomas Dekker,M,1.78,Dutch Americans,6.0,4.610109466106663,Did not go,False,No Sports,,,,1987.0,December,Not Ranked,0,3000,0,0,0,0,
2473,David Walliams,M,1.9,English people,34.0,4.610090653388971,University of Bristol,True,No Sports,Wimbledon London England,,1.0,1971.0,August,55,1,55,0,0,0,0,United Kingdom
2474,Richard Lewis,M,1.75,,44.0,4.609892000052021,Did not go,False,No Sports,,,,1947.0,June,Not Ranked,0,3000,0,0,0,0,
2475,Asia Argento,F,1.68,Italians,26.0,4.609397741780198,Did not go,False,Track,Rome Italy,,2.0,1975.0,September,Not Ranked,0,3000,0,0,0,0,Europe
2476,Will Kemp,M,1.8,,26.0,4.60911123731884,Did not go,False,No Sports,,,,1977.0,June,Not Ranked,0,3000,0,0,0,0,
2477,Jeff Fahey,M,1.83,,37.0,4.608951128179278,Did not go,True,Ballet,Olean New York US,,,1952.0,November,Not Ranked,0,3000,0,0,0,0,USA
2478,Jerry Orbach,M,1.867,,45.0,4.608896668263712,Northwestern University,True,Football,The Bronx New York City US,,2.0,1935.0,October,47,1,47,0,0,0,0,USA
2479,Leslie Phillips,M,1.74,White British,60.0,4.608788079941466,Specialised Drama School,False,Dance,Tottenham Middlesex England,,4.0,1924.0,April,Not Ranked,0,3000,1,0,0,0,United Kingdom
2480,Dave Matthews,M,1.89,,38.0,4.608584256911204,Did not go,False,Dance,Johannesburg,,,1967.0,January,Not Ranked,0,3000,0,0,0,0,Rest of World
2481,Kimmy Robertson,F,1.57,,34.0,4.608382691568993,Did not go,False,No Sports,Los Angeles California US,,,1954.0,November,Not Ranked,0,3000,0,0,0,0,USA
2482,Noah Huntley,M,1.85,,22.0,4.607951206220296,Did not go,False,Football,Wiston West Sussex England,,,1974.0,September,Not Ranked,0,3000,0,0,0,0,USA
2483,Lucas Black,M,1.78,,13.0,4.6077278375306445,Did not go,False,Football,Decatur Alabama US,,3.0,1982.0,November,Not Ranked,0,3000,0,0,0,0,USA
2484,Brendan Fehr,M,1.83,,20.0,4.607430914865697,Did not go,False,Football,New Westminster British Columbia Canada,,3.0,1977.0,October,Not Ranked,0,3000,0,0,0,0,Rest of World
2485,Wentworth Miller,M,1.842,Syrian Americans,31.0,4.607420913096112,Princeton University,False,No Sports,Chipping Norton Oxfordshire England,United StatesUnited Kingdom,,1972.0,June,17,1,17,0,0,0,0,United Kingdom
2486,Bonnie Somerville,F,1.73,,26.0,4.607118193602115,Boston College,True,Track,Brooklyn New York US,,,1974.0,February,631,1,631,0,0,0,0,USA
2487,Conrad Bain,M,1.778,,67.0,4.606832387470332,Specialised Drama School,True,No Sports,Lethbridge Alberta Canada,,3.0,1923.0,February,Not Ranked,0,3000,1,0,0,0,Rest of World
2488,Joanna Lumley,F,1.73,White British,36.0,4.606326209582449,Did not go,False,No Sports,Srinagar Jammu and Kashmir British India,,1.0,1946.0,May,Not Ranked,0,3000,0,0,0,0,Rest of World
2489,Alicia Keys,F,1.74,multiracial Americans,25.0,4.606299349941897,Did not go,False,No Sports,New York City US,,2.0,1981.0,January,Not Ranked,0,3000,0,0,0,0,USA
2490,Bradley Pierce,M,1.65,,9.0,4.605952157799972,Did not go,False,No Sports,Glendale Arizona US,,3.0,1982.0,October,Not Ranked,0,3000,0,0,0,0,USA
2491,Kyle Secor,M,1.943,,32.0,4.605902371557798,Did not go,False,No Sports,Tacoma Washington US,,2.0,1957.0,May,Not Ranked,0,3000,0,0,0,0,USA
2492,Haley Hudson,F,1.6,,17.0,4.605601698598384,Did not go,False,No Sports,,,,1986.0,June,Not Ranked,0,3000,0,0,0,0,
2493,Lee-Hom Wang,M,1.78,,31.0,4.605525824360458,Specialised Music School,False,No Sports,Rochester New York US,,3.0,1976.0,May,Not Ranked,0,3000,0,0,0,0,USA
2494,Alana Curry,F,1.7,,23.0,4.605247165112554,Did not go,False,No Sports,,,,1980.0,May,Not Ranked,0,3000,0,0,0,0,
2495,Maria Grazia Cucinotta,F,1.77,Italians,31.0,4.60496592498951,Did not go,False,No Sports,Messina Italy,,,1968.0,July,Not Ranked,0,3000,0,0,0,0,Europe
2496,Ryan Ochoa,M,1.63,,13.0,4.6049220405414815,Did not go,False,No Sports,San Diego California US,,,1996.0,May,Not Ranked,0,3000,0,0,0,0,USA
2497,Demetri Goritsas,M,1.83,,,4.604676830396387,Did not go,True,No Sports,,,,1971.0,February,Not Ranked,0,3000,0,0,0,0,
2498,Fredro Starr,M,1.65,African Americans,30.0,4.604578645726427,Did not go,False,Dance,Brooklyn,,,1970.0,April,Not Ranked,0,3000,0,0,0,0,USA
2499,Kim Tlusty,F,1.6,,18.0,4.604578645726427,Did not go,False,No Sports,,,,1982.0,July,Not Ranked,0,3000,0,0,0,0,
2500,Elisabeth Oas,F,1.52,,24.0,4.604578645726427,Did not go,False,No Sports,,,,1976.0,January,Not Ranked,0,3000,0,0,0,0,
2501,Telisha Shaw,F,1.62,,24.0,4.604578522273261,Did not go,True,Ballet,Memphis Tennessee US,,,1983.0,October,Not Ranked,0,3000,0,0,0,0,USA
2502,Cassie,F,1.689,Afro-Asians,21.0,4.604578522273261,Did not go,False,No Sports,,,,1986.0,August,Not Ranked,0,3000,0,0,0,0,
2503,Adam G. Sevani,M,1.7,Italians,15.0,4.604578522273261,Did not go,False,Dance,Los Angeles California US,,,1992.0,June,Not Ranked,0,3000,0,0,0,0,USA
2504,Alexis Dziena,F,1.57,Italian Americans,21.0,4.604553670675994,Did not go,False,No Sports,New York New York US,,,1984.0,July,Not Ranked,0,3000,0,0,0,0,USA
2505,Jillian Barberie,F,1.61,,45.0,4.604186306032408,Did not go,False,No Sports,Burlington Ontario Canada,,2.0,1966.0,September,Not Ranked,0,3000,0,0,0,0,Rest of World
2506,Patricia Wettig,F,1.638,German Americans,39.0,4.604076667886074,Temple University,True,Basketball,Milford Ohio US,,2.0,1951.0,December,721,1,721,0,0,0,0,USA
2507,Ron Silver,M,1.74,Jewish people,36.0,4.603266044167548,sub 1500 school,False,Football,New York City US,,2.0,1946.0,July,Not Ranked,0,3000,0,0,0,0,USA
2508,Stipe Erceg,M,1.8669,,36.0,4.603050009301019,Did not go,True,No Sports,Split SR Croatia SFR Yugoslavia,,,1974.0,October,Not Ranked,0,3000,0,0,0,0,Europe
2509,Jurnee Smollett,F,1.67,Jewish people,9.0,4.602976632347202,Did not go,False,No Sports,New York City US,,1.0,1986.0,October,Not Ranked,0,3000,0,0,0,0,USA
2510,Jordan Prentice,M,1.24,,13.0,4.6028992416589904,Dalhousie University,True,No Sports,London Ontario Canada,,,1973.0,January,298,1,298,0,0,0,0,Rest of World
2511,Sarah Parish,F,1.74,,38.0,4.600888507434843,Did not go,True,No Sports,Yeovil Somerset England,,2.0,1968.0,June,Not Ranked,0,3000,0,0,0,0,United Kingdom
2512,Jane Seymour,F,1.61,British Jews,47.0,4.60077593292063,Did not go,False,No Sports,probably,,,1951.0,February,Not Ranked,0,3000,0,0,0,0,Rest of World
2513,Kelly Rowland,F,1.73,African Americans,22.0,4.600699670579204,Did not go,False,No Sports,Atlanta Georgia US,,2.0,1981.0,February,Not Ranked,0,3000,0,0,0,0,USA
2514,Monique Coleman,F,1.57,African Americans,27.0,4.600389730096526,sub 1500 school,True,No Sports,Orangeburg South Carolina US,,,1980.0,November,Not Ranked,0,3000,0,0,0,0,USA
2515,Jemma McKenzie-brown,F,1.7,,14.0,4.600389730096526,Did not go,False,No Sports,,,,1994.0,June,Not Ranked,0,3000,0,0,0,0,
2516,Bart Johnson,M,1.93,,37.0,4.600389730096526,Yale University,False,No Sports,Hollywood California US,,3.0,1970.0,December,16,1,16,0,0,0,0,USA
2517,Olesya Rulin,F,1.52,,22.0,4.600389730096526,Did not go,False,Ballet,Moscow Russian SFSR Soviet Union now Russia,RussiaUnited States,1.0,1986.0,March,Not Ranked,0,3000,0,0,0,0,USA
2518,Ryne Sanborn,M,1.75,,19.0,4.600389730096526,University of Utah,False,Basketball,Salt Lake City Utah US,,,1989.0,February,441,1,441,0,0,0,0,USA
2519,Kaycee Stroh,F,1.59,,24.0,4.600389730096526,Colorado School of Mines,False,Dance,Salt Lake City Utah US,,2.0,1984.0,May,465,1,465,0,0,0,0,USA
2520,Jimmi Simpson,M,1.8,,24.0,4.600358709401356,Did not go,True,No Sports,Hackettstown New Jersey US,,,1975.0,November,Not Ranked,0,3000,0,0,0,0,USA
2521,Sofia Vassilieva,F,1.66,,16.0,4.600355588839881,Columbia University,False,No Sports,Minneapolis Minnesota US,,,1992.0,October,23,1,23,0,0,0,0,USA
2522,Nicole Marie Lenz,F,1.65,,29.0,4.600355588839881,Did not go,False,No Sports,Cleveland Ohio US1,,1.0,1980.0,January,Not Ranked,0,3000,0,0,0,0,USA
2523,Angus T. Jones,M,1.75,,8.0,4.599936170159952,University of Colorado Boulder,False,No Sports,Austin Texas US,,,1993.0,October,264,1,264,0,0,0,0,USA
2524,Jennifer Schwalbach Smith,F,1.78,,30.0,4.5997021723095255,Did not go,False,No Sports,Newark New Jersey US,,,1971.0,April,Not Ranked,0,3000,0,0,0,0,USA
2525,Raquel Welch,F,1.68,Bolivian Americans,60.0,4.599484899789674,San Diego State University,True,Ballet,Chicago Illinois US,,2.0,1940.0,September,1001,1,1001,0,0,0,0,USA
2526,Rick Worthy,M,1.892,,28.0,4.598455959523519,Specialised Drama School,True,Dance,Detroit Michigan US,,,1967.0,March,Not Ranked,0,3000,1,0,0,0,USA
2527,Nikki Soohoo,F,1.57,,21.0,4.598296479316733,Did not go,False,No Sports,Los Angeles California,,,1988.0,August,Not Ranked,0,3000,0,0,0,0,USA
2528,Rose McIver,F,1.6,,22.0,4.598296479316733,sub 1500 school,False,Ballet,Auckland New Zealand,,1.0,1987.0,October,Not Ranked,0,3000,0,0,0,0,Rest of World
2529,William Lucking,M,1.95,,53.0,4.5974771019057314,Did not go,False,No Sports,Vicksburg Michigan US,,2.0,1941.0,June,Not Ranked,0,3000,0,0,0,0,USA
2530,Ana Gasteyer,F,1.7,,33.0,4.596701884588285,Northwestern University,True,No Sports,Washington DC US,,2.0,1967.0,May,47,1,47,0,0,0,0,USA
2531,Asia Carrera,F,1.74,,24.0,4.596685587451871,Texas A&M University,False,No Sports,New York City US2,,3.0,1973.0,August,134,1,134,0,0,0,0,USA
2532,Raoul Bova,M,1.81,Italians,32.0,4.596341510782672,Did not go,False,No Sports,Rome Italy,,4.0,1971.0,August,Not Ranked,0,3000,0,0,0,0,Europe
2533,James Franco,M,1.78,American Jews,20.0,4.596302708861046,Columbia University,True,No Sports,Palo Alto California US,,,1978.0,April,23,1,23,0,0,0,0,USA
2534,Matthew Harrison,M,1.75,,32.0,4.596050054472387,Did not go,False,No Sports,,,,1968.0,December,Not Ranked,0,3000,0,0,0,0,
2535,Jeffrey Combs,M,1.708,,31.0,4.595920187682168,University of Washington,True,No Sports,Oxnard California US,,,1954.0,September,63,1,63,0,0,0,0,USA
2536,Olivia Brown,F,1.7,African Americans,27.0,4.595479435421118,Did not go,False,No Sports,Frankfurt West Germany,,2.0,1960.0,April,Not Ranked,0,3000,0,0,0,0,Europe
2537,Kate Mulgrew,F,1.651,Irish Americans,32.0,4.595479435421118,New York University (NYU),False,No Sports,Dubuque Iowa US,,3.0,1955.0,April,38,1,38,0,0,0,0,USA
2538,Jessica Steen,F,1.626,,23.0,4.595475150658916,Did not go,False,No Sports,Toronto Ontario Canada,,,1965.0,December,Not Ranked,0,3000,0,0,0,0,Rest of World
2539,Jonathan Morgan Heit,M,1.32,,8.0,4.594474809676221,Did not go,False,No Sports,Los Angeles California US,,,2000.0,July,Not Ranked,0,3000,0,0,0,0,USA
2540,Buck Taylor,M,1.8288,,54.0,4.59395807201199,Did not go,False,No Sports,,,,1938.0,May,Not Ranked,0,3000,0,0,0,0,
2541,Alexis Thorpe,F,1.7,,23.0,4.593954041867591,Did not go,True,No Sports,Newport Beach California US,,2.0,1980.0,April,Not Ranked,0,3000,0,0,0,0,USA
2542,Nikki Schieler Ziering,F,1.75,Jewish people,31.0,4.593954041867591,Did not go,False,No Sports, US,,,1971.0,August,Not Ranked,0,3000,0,0,0,0,USA
2543,Amanda Swisten,F,1.753,,24.0,4.593954041867591,Did not go,False,Swimming,New York City US,,,1978.0,December,Not Ranked,0,3000,0,0,0,0,USA
2544,Roland Kickinger,M,1.93,,41.0,4.593566198090477,Did not go,False,No Sports,Vienna Austria,,,1968.0,March,Not Ranked,0,3000,0,0,0,0,USA
2545,Teresa Churcher,F,1.65,,,4.593336637877455,Colorado School of Mines,False,Ballet,,,,,,465,1,465,0,0,0,0,
2546,Alexia Osborne,F,1.17,,,4.593336637877455,Did not go,False,No Sports,,,,,,Not Ranked,0,3000,0,0,0,0,
2547,Shaun Dooley,M,1.83,,38.0,4.593336637877455,Specialised Drama School,True,No Sports,,,4.0,1974.0,March,Not Ranked,0,3000,1,0,0,0,
2548,Aoife Doherty,F,1.57,,,4.593336637877455,Did not go,False,No Sports,,,,,,Not Ranked,0,3000,0,0,0,0,
2549,Stephenie Meyer,F,1.63,,37.0,4.593321784144847,Brigham Young University,False,No Sports, US,,3.0,1973.0,December,1001,1,1001,0,0,0,0,USA
2550,MacKenzie Foy,F,1.32,,11.0,4.593321784144847,Did not go,False,No Sports,,,,2000.0,November,Not Ranked,0,3000,0,0,0,0,
2551,Linda Park,F,1.651,,23.0,4.593315799961644,Boston University,True,No Sports,Seoul South Korea,,1.0,1978.0,July,93,1,93,0,0,0,0,Rest of World
2552,Jonny Lee Miller,M,1.8,English people,22.0,4.593265228545316,sub 1500 school,True,No Sports,KingstonuponThames London England,"United Kingdom, United States1",,1972.0,November,Not Ranked,0,3000,0,0,0,0,United Kingdom
2553,Anne Lockhart,F,1.689,,32.0,4.592887819525839,Did not go,False,No Sports,,,,1953.0,September,Not Ranked,0,3000,0,0,0,0,
2554,Serena Scott Thomas,F,1.7,,38.0,4.592810086206766,Did not go,False,No Sports,Nether Compton Dorset England,,1.0,1961.0,September,Not Ranked,0,3000,0,0,0,0,United Kingdom
2555,George Chuvalo,M,1.83,Croatian Canadians,48.0,4.592679632312948,Did not go,False,No Sports,Toronto Ontario Canada,,,1937.0,September,Not Ranked,0,3000,0,0,0,0,Rest of World
2556,Bruno Ganz,M,1.68,,62.0,4.592556452609007,Did not go,False,No Sports,Zürich Switzerland,,1.0,1941.0,March,Not Ranked,0,3000,0,0,0,0,Rest of World
2557,Anna Maria Horsford,F,1.73,African Americans,39.0,4.592439553092925,Did not go,True,No Sports,New York City US,,,1948.0,March,Not Ranked,0,3000,0,0,0,0,USA
2558,Sammi Hanratty,F,1.37,,11.0,4.59216786699385,Did not go,False,No Sports,Scottsdale Arizona US,,,1995.0,September,Not Ranked,0,3000,0,0,0,0,USA
2559,Lindsay Sloane,F,1.62,Jewish people,25.0,4.592116095229036,Did not go,False,No Sports,Long Island New York US,,2.0,1977.0,August,Not Ranked,0,3000,0,0,0,0,USA
2560,Izabella Miko,F,1.63,,19.0,4.592079989509286,sub 1500 school,False,Ballet,Łódź Poland,,,1981.0,January,Not Ranked,0,3000,0,0,0,0,Rest of World
2561,Noah Munck,M,1.83,,15.0,4.59186757110176,sub 1500 school,False,No Sports,Mission Viejo California US,,,1996.0,May,Not Ranked,0,3000,0,0,0,0,USA
2562,Matthew J. Evans,M,1.73,White people,14.0,4.59186757110176,Did not go,False,No Sports,,,,1996.0,August,Not Ranked,0,3000,0,0,0,0,
2563,Season Hubley,F,1.65,,30.0,4.591594133832425,Did not go,False,No Sports,New York City US,,1.0,1951.0,March,Not Ranked,0,3000,0,0,0,0,USA
2564,Kevin McDonald,M,1.82,,39.0,4.591519975773033,Did not go,False,No Sports,Montreal Quebec Canada,,,1961.0,May,Not Ranked,0,3000,0,0,0,0,Rest of World
2565,Moira Kelly,F,1.62,Irish Americans,22.0,4.591242540910926,sub 1500 school,False,No Sports,Queens New York US,,2.0,1968.0,March,Not Ranked,0,3000,0,0,0,0,USA
2566,Lauren Ambrose,F,1.664,,19.0,4.590728778310868,Did not go,True,No Sports,New Haven Connecticut US,,2.0,1978.0,February,Not Ranked,0,3000,0,0,0,0,USA
2567,Jill Clayburgh,F,1.727,Jewish people,48.0,4.590669359417453,sub 1500 school,True,No Sports,New York City US,,2.0,1944.0,April,Not Ranked,0,3000,0,0,0,0,USA
2568,Allison Miller,F,1.5,,23.0,4.590601065576085,Did not go,True,Dance,Rome Italy,,,1985.0,September,Not Ranked,0,3000,0,0,0,0,Europe
2569,Sterling Knight,M,1.8,,20.0,4.590601065576085,Did not go,False,Track,Hilton Head Island South Carolina US,,,1989.0,March,Not Ranked,0,3000,0,0,0,0,USA
2570,Julia Sweeney,F,1.72,,42.0,4.590266653385531,University of Washington,False,No Sports,Spokane Washington US,,1.0,1959.0,October,63,1,63,0,0,0,0,USA
2571,Shanna Forrestall,F,1.65,,,4.590161886683305,Did not go,False,No Sports,,,,,,Not Ranked,0,3000,0,0,0,0,
2572,Ashley Bell,F,1.6,,,4.590161886683305,Did not go,False,No Sports,,,,1986.0,May,Not Ranked,0,3000,0,0,0,0,
2573,Linda Cardellini,F,1.6,Irish Americans,22.0,4.589733332541398,sub 1500 school,True,No Sports,Redwood City California US,,1.0,1975.0,June,Not Ranked,0,3000,0,0,0,0,USA
2574,Lyle Lovett,M,1.83,,34.0,4.589636780736365,Did not go,False,No Sports,Houston,,,1957.0,November,Not Ranked,0,3000,0,0,0,0,USA
2575,Eva Marie Saint,F,1.63,,80.0,4.589178507707083,sub 1500 school,True,No Sports,Newark New Jersey US,,2.0,1924.0,July,Not Ranked,0,3000,0,0,0,0,USA
2576,Tom Hollander,M,1.651,English people,33.0,4.5888672431984405,University of Cambridge,True,No Sports,Bristol England UK,,1.0,1967.0,August,2,1,2,0,0,0,0,United Kingdom
2577,James Lipton,M,1.75,,78.0,4.588449313950935,Specialised Drama School,True,Ballet,Detroit Michigan US,,,1926.0,September,Not Ranked,0,3000,1,0,0,0,USA
2578,Shannon Lee,F,1.75,Swedish Americans,29.0,4.588392742021274,Did not go,False,Martial arts,Santa Monica California United States,,1.0,1969.0,April,Not Ranked,0,3000,0,0,0,0,USA
2579,Arly Jover,F,1.78,Spaniards,27.0,4.588392742021274,Did not go,False,Ballet,Melilla Spain,,1.0,1971.0,February,Not Ranked,0,3000,0,0,0,0,Europe
2580,Kristin Bauer,F,1.75,,37.0,4.588299976494501,The New School,False,Dance,Racine Wisconsin US,,,1966.0,November,641,1,641,0,0,0,0,USA
2581,Hamish Linklater,M,1.93,,28.0,4.588173634321636,sub 1500 school,True,No Sports,New York City New York US,,4.0,1976.0,July,Not Ranked,0,3000,0,0,0,0,USA
2582,Sophia Loren,F,1.74,Italians,61.0,4.587056957423703,Specialised Acting School,False,No Sports,Rome Kingdom of Italy,ItalyFrance,,1934.0,September,Not Ranked,0,3000,0,1,0,0,Europe
2583,Kevin J. O%27Connor,M,1.85,,22.0,4.586702247029674,Did not go,False,No Sports,,,,1963.0,November,Not Ranked,0,3000,0,0,0,0,
2584,Sally Kellerman,F,1.78,,49.0,4.586477760635385,sub 1500 school,False,Track,Long Beach California US,,3.0,1937.0,June,Not Ranked,0,3000,0,0,0,0,USA
2585,Javier Cámara,M,1.71,Spaniards,37.0,4.586025245153574,sub 1500 school,True,No Sports,Albelda de Iregua Spain,,,1967.0,January,Not Ranked,0,3000,0,0,0,0,Europe
2586,Leonor Watling,F,1.6,,28.0,4.586025245153574,Did not go,True,Dance,Madrid Spain,,,1975.0,July,Not Ranked,0,3000,0,0,0,0,Europe
2587,Michael Michele,F,1.74,African Americans,30.0,4.5857849914562285,Did not go,False,Basketball,Evansville Indiana US,,1.0,1966.0,August,Not Ranked,0,3000,0,0,0,0,USA
2588,Wendell Pierce,M,1.73,African Americans,31.0,4.585780136717338,Specialised Music School,False,No Sports,New Orleans Louisiana US,,,1962.0,December,Not Ranked,0,3000,0,0,0,0,USA
2589,Erika Christensen,F,1.65,Welsh people,20.0,4.585738160118352,Did not go,False,No Sports,Seattle Washington US,,2.0,1982.0,August,Not Ranked,0,3000,0,0,0,0,USA
2590,Richard Bakalyan,M,1.7,,50.0,4.585627399923855,Did not go,False,No Sports,Watertown Massachusetts US,,,1931.0,January,Not Ranked,0,3000,0,0,0,0,USA
2591,Jack Albertson,M,1.8,Jewish people,74.0,4.585627399923855,Did not go,False,Dance,Malden Massachusetts US,,1.0,1907.0,June,Not Ranked,0,3000,0,0,0,0,USA
2592,Grand L. Bush,M,1.82,African Americans,31.0,4.585232271693202,Did not go,True,No Sports,Los Angeles California US,,,1955.0,December,Not Ranked,0,3000,0,0,0,0,USA
2593,Ben Davidson,M,2.03,,41.0,4.583686937640348,Did not go,False,Football,Los Angeles,,,1940.0,June,Not Ranked,0,3000,0,0,0,0,USA
2594,Cassandra Gava,F,1.67,,22.0,4.583686937640348,Did not go,False,No Sports,San Francisco California US,,,1959.0,April,Not Ranked,0,3000,0,0,0,0,USA
2595,Earl Hindman,M,1.9,,38.0,4.583668976922904,Did not go,False,No Sports,Bisbee Arizona US,,,1942.0,October,Not Ranked,0,3000,0,0,0,0,USA
2596,Assaf Cohen,M,1.8,,32.0,4.583606923337464,HSE University,True,No Sports,Mountain View California US,,,1972.0,October,399,1,399,0,0,0,0,USA
2597,Chad Lindberg,M,1.8,,21.0,4.583318899393612,Did not go,False,Dance,Mount Vernon Washington US,,,1976.0,November,Not Ranked,0,3000,0,0,0,0,USA
2598,Mia Amber Davis,F,1.83,,24.0,4.582579705310731,Did not go,False,No Sports,,,,1975.0,July,Not Ranked,0,3000,0,0,0,0,
2599,Wilford Brimley,M,1.73,,47.0,4.582346198499089,Did not go,True,No Sports,Salt Lake City Utah US,,4.0,1934.0,September,Not Ranked,0,3000,0,0,0,0,USA
2600,Jerry Ferrara,M,1.626,,32.0,4.582293831454341,Did not go,True,No Sports,New York City US,,2.0,1979.0,November,Not Ranked,0,3000,0,0,0,0,USA
2601,Alani Vasquez,F,1.68,,32.0,4.582293831454341,Did not go,False,No Sports,New York City US,,,1979.0,June,Not Ranked,0,3000,0,0,0,0,USA
2602,Julie Kavner,F,1.7,,35.0,4.581885954313224,San Diego State University,False,No Sports,Los Angeles California US,,,1950.0,September,1001,1,1001,0,0,0,0,USA
2603,Antwon Tanner,M,1.68,African Americans,24.0,4.5815711654800175,Did not go,False,No Sports,Chicago Illinois US,,4.0,1975.0,April,Not Ranked,0,3000,0,0,0,0,USA
2604,Terrence J,M,1.77,,28.0,4.581418721340225,sub 1500 school,False,No Sports,Queens New York US,,,1982.0,April,Not Ranked,0,3000,0,0,0,0,USA
2605,Bianca Kajlich,F,1.73,,22.0,4.580745825652041,Did not go,True,Ballet,Seattle Washington US,,1.0,1977.0,March,Not Ranked,0,3000,0,0,0,0,USA
2606,Lyndsy Fonseca,F,1.65,Portuguese Americans,23.0,4.579993395318875,Did not go,False,No Sports,Oakland California US,,2.0,1987.0,January,Not Ranked,0,3000,0,0,0,0,USA
2607,Michael Pitt,M,1.8,,17.0,4.579787186973551,Did not go,False,No Sports,West Orange New Jersey US,,,1981.0,April,Not Ranked,0,3000,0,0,0,0,USA
2608,Gabriel MacHt,M,1.84,,27.0,4.57976495940855,Did not go,False,No Sports,,,,1972.0,January,Not Ranked,0,3000,0,0,0,0,
2609,Leila Arcieri,F,1.63,Italian Americans,28.0,4.579625012653295,Did not go,False,No Sports,San Francisco California,,,1973.0,December,Not Ranked,0,3000,0,0,0,0,Rest of World
2610,Nick Jonas,M,1.75,Irish Americans,16.0,4.579522415390821,Did not go,False,No Sports,Dallas Texas US,,1.0,1992.0,September,Not Ranked,0,3000,0,0,0,0,USA
2611,Joe Jonas,M,1.73,Irish Americans,19.0,4.579522415390821,Did not go,False,No Sports,Casa Grande Arizona US,,2.0,1989.0,August,Not Ranked,0,3000,0,0,0,0,USA
