Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start
Sofia Vassilieva,1992-10-22,F,1.66,,16.0,4.600355588839881,Female,Columbia University BA,,,Minneapolis Minnesota US,1992-10-22,,,2000
Nicole Marie Lenz,1980-01-24,F,1.65,,29.0,4.600355588839881,Female,,,,Cleveland Ohio US1,1980-01-24,,1,2007
Angus T. Jones,1993-10-08,M,1.75,,8.0,4.599936170159952,Male,University of Colorado Boulder,,,Austin Texas US,1993-10-08,,,1999
Jennifer Schwalbach Smith,1971-04-07,F,1.78,,30.0,4.5997021723095255,Female,,,,Newark New Jersey US,,,,
Raquel Welch,1940-09-05,F,1.68,Bolivian Americans,60.0,4.599484899789674,Female,San Diego State University,Yes,Ballet,Chicago Illinois US,1940-09-05,,2,1964
Rick Worthy,1967-03-12,M,1.892,,28.0,4.598455959523519,Male,University of Michigan School of Music Theatre Dance 1990,Yes,Dance,Detroit Michigan US,1967-03-12,,,1993
Nikki Soohoo,1988-08-20,F,1.57,,21.0,4.598296479316733,Female,,,,Los Angeles California,1988-08-20,,,2004
Rose McIver,1987-10-10,F,1.6,,22.0,4.598296479316733,Female,Avondale College,,Ballet,Auckland New Zealand,1988-10-10,,1,1993
William Lucking,1941-06-17,M,1.95,,53.0,4.5974771019057314,Male,,,,Vicksburg Michigan US,,,2,1968
Ana Gasteyer,1967-05-04,F,1.7,,33.0,4.596701884588285,Female,Northwestern University BA,Yes,,Washington DC US,1967-05-04,,2,1995
Asia Carrera,1973-08-06,F,1.74,,24.0,4.596685587451871,Female,Utah Tech University BSTexas AM MSEdSt Marys University JD,,,New York City US2,1973-08-06,,3,
Raoul Bova,1971-08-14,M,1.81,Italians,32.0,4.596341510782672,Male,,,,Rome Italy,1971-08-14,,4,1984
James Franco,1978-04-19,M,1.78,American Jews,20.0,4.596302708861046,Male,"University of California Los Angeles BA, Columbia University MFA",Yes,,Palo Alto California US,1978-04-19,,,1997
Matthew Harrison,1968-12-17,M,1.75,,32.0,4.596050054472387,,,,,,,,,
Jeffrey Combs,1954-09-09,M,1.708,,31.0,4.595920187682168,Male,University of Washington,Yes,,Oxnard California US,1954-09-09,,,1971
Olivia Brown,1960-04-10,F,1.7,African Americans,27.0,4.595479435421118,Female,,,,Frankfurt West Germany,,,2,1979
Kate Mulgrew,1955-04-29,F,1.651,Irish Americans,32.0,4.595479435421118,Female,New York University,,,Dubuque Iowa US,1955-04-29,,3,1975
Jessica Steen,1965-12-19,F,1.626,,23.0,4.595475150658916,Female,,,,Toronto Ontario Canada,1965-12-19,,,1981
Jonathan Morgan Heit,2000-07-16,M,1.32,,8.0,4.594474809676221,Male,,,,Los Angeles California US,2000-07-16,,,2006
Buck Taylor,1938-05-13,M,1.8288,,54.0,4.59395807201199,Male,,,,,1938-05-13,,,
Alexis Thorpe,1980-04-19,F,1.7,,23.0,4.593954041867591,Female,,Yes,,Newport Beach California US,1980-04-19,,2,2000
Nikki Schieler Ziering,1971-08-09,F,1.75,Jewish people,31.0,4.593954041867591,Female,,,, US,1971-08-09,,,
Amanda Swisten,1978-12-20,F,1.753,,24.0,4.593954041867591,Female,,,Swimming,New York City US,1978-12-20,,,2003
Roland Kickinger,1968-03-30,M,1.93,,41.0,4.593566198090477,Male,,,,Vienna Austria,1968-03-30,,,1997
Teresa Churcher,,F,1.65,,,4.593336637877455,Female,School,,Ballet,,,,,
Alexia Osborne,,F,1.17,,,4.593336637877455,,,,,,,,,
Shaun Dooley,1974,M,1.83,,38.0,4.593336637877455,Male,Arden School of Theatre,Yes,,,,,4,1997
Aoife Doherty,,F,1.57,,,4.593336637877455,,,,,,,,,
Stephenie Meyer,1973-12-24,F,1.63,,37.0,4.593321784144847,Female,Brigham Young University BA,,, US,1973-12-24,,3,
MacKenzie Foy,2000-11-10,F,1.32,,11.0,4.593321784144847,,,,,,,,,
Linda Park,1978-07-09,F,1.651,,23.0,4.593315799961644,Female,Boston University,Yes,,Seoul South Korea,1978-07-09,,1,2001
Jonny Lee Miller,1972-11-15,M,1.8,English people,22.0,4.593265228545316,Male,Tiffin School,Yes,,KingstonuponThames London England,1972-11-15,"United Kingdom, United States1",,1982
Anne Lockhart,1953-09-06,F,1.689,,32.0,4.592887819525839,,,,,,,,,
Serena Scott Thomas,1961-09-21,F,1.7,,38.0,4.592810086206766,Female,,,,Nether Compton Dorset England,1961-09-21,,1,1990
George Chuvalo,1937-09-12,M,1.83,Croatian Canadians,48.0,4.592679632312948,Male,,,,Toronto Ontario Canada,1937-09-12,,,
Bruno Ganz,1941-03-22,M,1.68,,62.0,4.592556452609007,Male,,,,Zürich Switzerland,1941-03-22,,1,1960
Anna Maria Horsford,1948-03-06,F,1.73,African Americans,39.0,4.592439553092925,Female,High School of Performing Arts,Yes,,New York City US,,,,1968
Sammi Hanratty,1995-09-20,F,1.37,,11.0,4.59216786699385,Female,,,,Scottsdale Arizona US,1995-09-20,,,2005
Lindsay Sloane,1977-08-08,F,1.62,Jewish people,25.0,4.592116095229036,Female,,,,Long Island New York US,1977-08-08,,2,1990
Izabella Miko,1981-01-21,F,1.63,,19.0,4.592079989509286,Female,Lee Strasberg Institute,,Ballet,Łódź Poland,1981-01-21,,,1988
Noah Munck,1996-05-03,M,1.83,,15.0,4.59186757110176,Male,Biola University,,,Mission Viejo California US,1996-05-03,,,2007
Matthew J. Evans,1996-08-09,M,1.73,White people,14.0,4.59186757110176,,,,,,,,,
Season Hubley,1951-03-14,F,1.65,,30.0,4.591594133832425,Female,,,,New York City US,1951-03-14,,1,1972
Kevin McDonald,1961-05-16,M,1.82,,39.0,4.591519975773033,Male,,,,Montreal Quebec Canada,1961-05-16,,,1987
Moira Kelly,1968-03-06,F,1.62,Irish Americans,22.0,4.591242540910926,Female,Marymount Manhattan College,,,Queens New York US,1968-03-06,,2,1988
Lauren Ambrose,1978-02-20,F,1.664,,19.0,4.590728778310868,Female,,Yes,,New Haven Connecticut US,1978-02-20,,2,1990
Jill Clayburgh,1944-04-30,F,1.727,Jewish people,48.0,4.590669359417453,Female,Sarah Lawrence College,Yes,,New York City US,1944-04-30,,2,1968
Allison Miller,1985-09-02,F,1.5,,23.0,4.590601065576085,Female,,Yes,Dance,Rome Italy,1985-09-02,,,2006
Sterling Knight,1989-03-05,M,1.8,,20.0,4.590601065576085,Male,,,Track,Hilton Head Island South Carolina US,1989-03-05,,,2005
Julia Sweeney,1959-10-10,F,1.72,,42.0,4.590266653385531,Female,University of Washington BA,,,Spokane Washington US,1959-10-10,,1,1988
Shanna Forrestall,,F,1.65,,,4.590161886683305,,,,,,,,,
Ashley Bell,1986-05-26,F,1.6,,,4.590161886683305,,,,,,,,,
Linda Cardellini,1975-06-25,F,1.6,Irish Americans,22.0,4.589733332541398,Female,Loyola Marymount University,Yes,,Redwood City California US,1975-06-25,,1,1996
Lyle Lovett,1957-11-01,M,1.83,,34.0,4.589636780736365,Male,,,,Houston,1957-11-01,,,1980
Eva Marie Saint,1924-07-04,F,1.63,,80.0,4.589178507707083,Female,Bowling Green State University,Yes,,Newark New Jersey US,1924-07-04,,2,1944
Tom Hollander,1967-08-25,M,1.651,English people,33.0,4.5888672431984405,Male,Abingdon SchoolSelwyn College Cambridge,Yes,,Bristol England UK,1967-08-25,,1,1981
James Lipton,1926-09-19,M,1.75,,78.0,4.588449313950935,Male,Actors Studio Drama School at Pace University,Yes,Ballet,Detroit Michigan US,1926-09-19,,,1944
Shannon Lee,1969-04-19,F,1.75,Swedish Americans,29.0,4.588392742021274,Male,,,Martial arts,Santa Monica California United States,1969-04-19,,1,1993
Arly Jover,1971-02-02,F,1.78,Spaniards,27.0,4.588392742021274,Female,,,Ballet,Melilla Spain,1971-02-02,,1,1994
Kristin Bauer,1966-11-26,F,1.75,,37.0,4.588299976494501,Female,Washington University in St Louis Parsons The New School for Design,,Dance,Racine Wisconsin US,,,,1993
Hamish Linklater,1976-07-07,M,1.93,,28.0,4.588173634321636,Male,Amherst College,Yes,,New York City New York US,1976-07-07,,4,2000
Sophia Loren,1934-09-20,F,1.74,Italians,61.0,4.587056957423703,Female,American Film Institute,,,Rome Kingdom of Italy,1934-09-20,ItalyFrance,,1950
Kevin J. O%27Connor,1963-11-15,M,1.85,,22.0,4.586702247029674,,,,,,,,,
Sally Kellerman,1937-06-02,F,1.78,,49.0,4.586477760635385,Female,"Actors Studio, Los Angeles City College",,Track,Long Beach California US,1937-06-02,,3,1957
Javier Cámara,1967-01-19,M,1.71,Spaniards,37.0,4.586025245153574,Male,RESAD,Yes,,Albelda de Iregua Spain,1967-01-19,,,1991
Leonor Watling,1975-07-28,F,1.6,,28.0,4.586025245153574,Female,,Yes,Dance,Madrid Spain,1975-07-28,,,1993
Michael Michele,1966-08-30,F,1.74,African Americans,30.0,4.5857849914562285,Female,,,Basketball,Evansville Indiana US,1966-08-30,,1,1986
Wendell Pierce,1962-12-08,M,1.73,African Americans,31.0,4.585780136717338,Male,Juilliard School BFA,,,New Orleans Louisiana US,1962-12-08,,,1985
Erika Christensen,1982-08-19,F,1.65,Welsh people,20.0,4.585738160118352,Male,,,,Seattle Washington US,1982-08-19,,2,1997
Richard Bakalyan,1931-01-29,M,1.7,,50.0,4.585627399923855,Male,,,,Watertown Massachusetts US,1931-01-29,,,1954
Jack Albertson,1907-06-16,M,1.8,Jewish people,74.0,4.585627399923855,Male,,,Dance,Malden Massachusetts US,"1907
-06-16",,1,1926
Grand L. Bush,1955-12-24,M,1.82,African Americans,31.0,4.585232271693202,Male,,Yes,,Los Angeles California US,1955-12-24,,,1976
Ben Davidson,1940-06-14,M,2.03,,41.0,4.583686937640348,Male,,,Football,Los Angeles,1940-06-14,,,
Cassandra Gava,1959-04-28,F,1.67,,22.0,4.583686937640348,Female,,,,San Francisco California US,1959-04-28,,,1963
Earl Hindman,1942-10-20,M,1.9,,38.0,4.583668976922904,Male,,,,Bisbee Arizona US,1942-10-20,,,1968
Assaf Cohen,1972-10-31,M,1.8,,32.0,4.583606923337464,Male,University,Yes,,Mountain View California US,1972-10-31,,,2002
Chad Lindberg,1976-11-01,M,1.8,,21.0,4.583318899393612,Male,,,Dance,Mount Vernon Washington US,1976-11-01,,,1985
Mia Amber Davis,1975-07-25,F,1.83,,24.0,4.582579705310731,,,,,,,,,
Wilford Brimley,1934-09-27,M,1.73,,47.0,4.582346198499089,,,Yes,,Salt Lake City Utah US,1934-09-27,,4,1967
Jerry Ferrara,1979-11-25,M,1.626,,32.0,4.582293831454341,Male,,Yes,,New York City US,1979-11-25,,2,2000
Alani Vasquez,1979-06-25,F,1.68,,32.0,4.582293831454341,Female,,,,New York City US,,,,1996
Julie Kavner,1950-09-07,F,1.7,,35.0,4.581885954313224,Female,San Diego State University BA,,,Los Angeles California US,1950-09-07,,,1973
Antwon Tanner,1975-04-14,M,1.68,African Americans,24.0,4.5815711654800175,Male,,,,Chicago Illinois US,1975-04-14,,4,1994
Terrence J,1982-04-21,M,1.77,,28.0,4.581418721340225,Male,North Carolina AT,,,Queens New York US,1982-04-21,,,1996
Bianca Kajlich,1977-03-26,F,1.73,,22.0,4.580745825652041,Female,,Yes,Ballet,Seattle Washington US,1977-03-26,,1,1999
Lyndsy Fonseca,1987-01-07,F,1.65,Portuguese Americans,23.0,4.579993395318875,Female,,,,Oakland California US,1987-01-07,,2,2000
Michael Pitt,1981-04-10,M,1.8,,17.0,4.579787186973551,Male,,,,West Orange New Jersey US,1981-04-10,,,1997
Gabriel MacHt,1972-01-22,M,1.84,,27.0,4.57976495940855,,,,,,,,,
Leila Arcieri,1973-12-18,F,1.63,Italian Americans,28.0,4.579625012653295,Female,,,,San Francisco California,1973-12-18,,,1999
Nick Jonas,1992-09-16,M,1.75,Irish Americans,16.0,4.579522415390821,Male,,,,Dallas Texas US,1992-09-16,,1,1999
Joe Jonas,1989-08-15,M,1.73,Irish Americans,19.0,4.579522415390821,Male,,,,Casa Grande Arizona US,1989-08-15,,2,2002
William Devane,1937-09-05,M,1.778,,43.0,4.5793749106576245,Male,American Academy of Dramatic Arts,,,Albany New York US,1939-09-05,,2,1966
Todd Phillips,1970-12-20,M,1.82,,39.0,4.579164969357928,Male,New York University,Yes,Dance,New York City US,1970-12-19,,,1993
"Harry Shum, Jr.",1982-04-28,M,1.8,,24.0,4.579013245894683,Male,,Yes,Dance,Limón Costa Rica,1982-04-28,,1,2000
Jasmine Waltz,1982-08-22,F,1.68,,20.0,4.57810571630855,Female,,,,Las Vegas Nevada United States,1982-08-22,American,,2003
Jason Manuel Olazabal,1973-10-14,M,1.87,,29.0,4.57810571630855,Male,,,,Santa Maria California US,1973-10-14,,,2001
Miranda Raison,1980-11-18,F,1.651,,24.0,4.577966282570803,Female,,Yes,,Burnham Thorpe Norfolk England,,,2,1999
Mark Webber,1980-07-19,M,1.82,,18.0,4.577706765065445,,,,,,,,,
Lindy Booth,1979-04-02,F,1.702,,24.0,4.577591617639039,Female,,,,Oakville Ontario Canada,1979-04-02,,,1998
Frank Miller,1957-01-27,M,1.86,,30.0,4.577560886801209,,,,,Olney Maryland,1957-01-27,,,
Bill Irwin,1950-04-11,M,1.82,,38.0,4.577510355725353,Male,,,,Santa Monica California US,1950-04-11,,1,1974
Lisa Edelstein,1967-05-21,F,1.68,Jewish people,23.0,4.577449963933349,Female,New York University,,,Boston Massachusetts US,1966-05-21,,,1990
Annabella Sciorra,1960-03-29,F,1.57,,29.0,4.577326544947838,Female,HB StudioAmerican Academy of Dramatic Arts,,Dance,New York City New York USa,1960-03-29,,,1988
Adrian Kali Turner,1997,M,1.45,,14.0,4.57717374934836,,,,,,,,,
Leonardo Nam,1979-11,M,1.753,Koreans,,4.577117197217772,Male,University of New South Wales,,,Buenos Aires Argentina,1979-11-05,United States1,2,2001
David Benger,1991-04-27,M,1.57,,,4.575992482239309,,,,,,,,,
Charlie O%27Connell,1975-04-21,M,1.91,,23.0,4.5755778456547,Male,,,,New York City US,1975-04-21,,,1998
Nicol Williamson,1936-09-14,M,1.88,,44.0,4.575494439791343,Male,,,,Hamilton Lanarkshire Scotland,1936-09-14,,1,1956
Dominic Purcell,1970-02-17,M,1.88,Australians,30.0,4.575282742035266,Male,,Yes,,Birkenhead Cheshire England,1970-02-17,AustraliaUnited KingdomIreland,4,1991
Gregory Smith,1983-07-06,M,1.79,Canadian Americans,13.0,4.575144995028057,,,,,,,,,
Robert Smigel,1960-02-07,M,1.8,,36.0,4.574947529999334,Male,"Cornell University , New York University BA",,,New York City New York US,1960-02-07,,3,1985
Derek Mears,1972-04-29,M,1.96,,34.0,4.5747480900009885,Male,,,,Bakersfield California US,1972-04-29,,,1995
Schuyler Fisk,1982-07-08,F,1.65,,13.0,4.574384785851838,Female,University of Virginia 2006,Yes,,Los Angeles California US,1982-07-08,,,1990
Mark Heap,1957-05-13,M,1.83,,49.0,4.574247349888086,Male,,Yes,,Kodaikanal Tamil Nadu India,1957-05-13,,,1983
Anthony Kiedis,1962-11-01,M,1.74,Lithuanian Americans,28.0,4.573612746241796,,Fairfax High School,,Swimming,Grand Rapids Michigan US,1962-11-01,,1,1983
Mary Jo Catlett,1938-09-02,F,1.78,,43.0,4.573342763345748,Female,School,Yes,,Denver Colorado US,1938-09-02,,,1961
Corbin Bleu,1989-02-21,M,1.8,Italian Americans,10.0,4.572855770330749,Male,Los Angeles County High School for the ArtsFiorello H LaGuardia High School of Music Art and Performing Arts,Yes,Ballet,Brooklyn New York US,1989-02-21,,,2006
Andreas Katsulas,1946-05-18,M,1.83,,41.0,4.571943679282479,Male,,Yes,,St Louis Missouri US,1946-05-18,,,1960
Farrah Fawcett,1947-02-02,F,1.69,,34.0,4.571564721855027,Female,,,,Corpus Christi Texas US,1947-02-02,,1,1969
Alan Young,1919-11-19,M,1.78,,66.0,4.57151361669341,Male,,Yes,Dance,North Shields Northumberland England,1919-11-19,United Kingdom 19192016Canada 19252016United States 19442016,4,1939
Lynn Whitfield,1953-05-06,F,1.613,,34.0,4.571418001046947,Female,Howard University,Yes,,Baton Rouge Louisiana US,1953-02-15,,1,1977
Lily Collins,1989-03-18,F,1.65,,20.0,4.5712302587329,Female,,,,Guildford Surrey England,1989-03-18,United KingdomUnited States,,1991
Ken Davitian,1953-06-19,M,1.65,Armenian Americans,49.0,4.570932137620271,Male,,,,Los Angeles California US,1953-06-19,,,1975
Jay Underwood,1968-10-01,M,1.77,,20.0,4.570755616751126,Male,,,,Minneapolis Minnesota United States,1968-10-01,,,1986
Anna Chlumsky,1980-12-03,F,1.57,,8.0,4.570755616751126,Female,University of Chicago BAAtlantic Acting School,Yes,,Chicago Illinois US,1980-12-03,,2,1989
David Kaye,1964-10-14,M,1.82,,36.0,4.570408203696166,,,,,,,,,
Robert Hays,1947-07-24,M,1.87,,32.0,4.569358730977355,Male,,,,Bethesda Maryland US,1947-07-24,,1,1975
Jacob Smith,1990-01-21,M,1.73,,8.0,4.568662811959302,,,,,,,,,
June Carter Cash,1929-06-23,F,1.66,,68.0,4.568629523805847,Female,,Yes,Dance,Maces Spring Virginia,1929-06-23,,,1939
Misha Collins,1974-08-20,M,1.8,,25.0,4.568218730437346,Male,"Northfield Mount Hermon School, University of Chicago",,,Boston Massachusetts US,1974-08-20,,2,1998
Jesse Ventura,1951-07-15,M,1.93,Slovak Americans,35.0,4.5681810516667465,Male,North Hennepin Community College,,,,1951-07-15,,2,
Scott Mechlowicz,1981-01-17,M,1.829,Jewish people,22.0,4.567601384025775,Male,University of California Los Angeles,Yes,,New York City US,1981-01-17,,2,2003
Frankie Faison,1949-06-10,M,1.88,African Americans,32.0,4.567376028195686,Male,Illinois Wesleyan University BANew York University MFA,,,Newport News Virginia US,1949-06-10,,3,1974
Bill Bailey,1964-02-24,M,1.69,English people,35.0,4.567213566567124,Male,Westfield CollegeLondon College of Music,,,Bath,1965-01-13,,1,1989
Joss Ackland,1928-02-29,M,1.829,English people,59.0,4.567100562200795,Male,Central School of Speech and Drama,,,North Kensington London England,1928-02-29,,7,1945
Danny Woodburn,1964-07-26,M,1.21,,35.0,4.566881950523105,Male,Temple University,Yes,,Philadelphia Pennsylvania US,1964-07-26,,,1985
Bolo Yeung,1946-07-03,M,1.68,,41.0,4.566832376255355,Male,,,Martial arts, Guangdong,1946-07-03,,3,1970
Walter Matthau,1920-10-01,M,1.892,Jewish people,61.0,4.566068428643248,Male,Seward Park High School,Yes,,New York City US,1920-10-01,,3,1948
Irene Bedard,1967-07-22,F,1.53,Iñupiaq people,27.0,4.565601826690451,Male,,Yes,,Anchorage Alaska US,1967-07-22,,1,1994
Harley Jane Kozak,1957-01-28,M,1.75,,32.0,4.5652536215325,Female,New York University MFA,,,WilkesBarre Pennsylvania US,1957-01-28,,3,1981
Sean Huze,1975-01-18,M,1.77,,35.0,4.565037662933227,Male,,,,Greenwood Mississippi US,1975-01-18,,,
Russell Means,1939-11-10,M,1.854,Indigenous peoples of the Americas,52.0,4.5639077239040695,Male,,,,Porcupine Pine Ridge Indian Reservation US,1939-11-10,,10,1968
Justin Chambers,1970-07-11,M,1.8,German Americans,30.0,4.563775727471911,Male,Southeastern High School,,,Springfield Ohio US,1970-07-11,,5,1995
Nikki Blonsky,1988-11-09,F,1.47,Jewish people,18.0,4.563731818354768,Male,,Yes,,Great Neck New York US,1988-11-09,,,2007
Nick Loren,1970-12-14,M,1.83,,36.0,4.563731818354768,Male,,,,San Diego CA US,1970-12-14,,,1996
Sebastian Roché,1964-08-04,M,1.8,,47.0,4.563666974545089,Male,French National Academy of Dramatic Arts,Yes,,Paris France,1964-08-04,,,1986
Tanit Phoenix,1984-09-24,F,1.74,,27.0,4.563666974545089,Female,,,,Durban KwaZuluNatal South Africa,1980-09-24,,1,2005
Richard Brake,1964-11-30,M,1.88,Welsh Americans,39.0,4.563459737054398,Male,Duke University,,Dance,Ystrad Mynach Glamorgan Wales,1964-11-30,,,1993
Jessica Alba,1981-04-28,F,1.7,,17.0,4.563410177895719,Female,,Yes,,Pomona California US,1981-04-28,,3,1992
Patti D%27Arbanville,1951-05-25,F,1.63,,30.0,4.563201110074179,Female,,,,New York City US,1951-05-25,,4,1968
Redman,1970-04-17,M,1.85,,18.0,4.562906362750486,,,,,,,,,
Brittany Daniel,1976-03-17,F,1.7,,19.0,4.562860860195054,Female,Gainesville High School,,Basketball,Gainesville Florida US,1976-03-17,,1,1989
Joe Chrest,,M,1.85,,,4.562802311750316,Male,,Yes,,Saint Albans West Virginia US,1963-05-26,,2,1993
Dave Grohl,1969-01-14,M,1.83,,37.0,4.56248973580689,Male,,,,Warren Ohio US,1969-01-14,,4,1983
Brian McGovern,,M,1.9,,,4.561936299397816,,,,,,,,,
Kelly Ripa,1970-10-02,F,1.6,Italian Americans,26.0,4.561425845902747,Female,,Yes,Dance,Berlin New Jersey US,1970-10-02,,3,1986
Lisa Ann Walter,1963-08-03,F,1.63,,32.0,4.561339770499701,Male,Catholic University BFA,Yes,Dance,Silver Spring Maryland US,1963-08-03,,4,1995
Kaley Cuoco,1985-11-30,F,1.7,,9.0,4.561292714468363,Female,,,Tennis,Camarillo California US,1985-11-30,,1,1992
George Martin,1926-01-03,M,1.88,English people,58.0,4.5608782095322375,Male,Guildhall School of Music and Drama,,,Highbury London England,1926-01-03,,4,1950
Pamela Salem,1950-01-22,F,1.676,,32.0,4.560802145268012,Female,Heidelberg UniversityCentral School of Speech and Drama,,,Bombay Bombay Province British Raj,1944-01-22,,,
Lorne Cardinal,1964-01-06,M,1.8,Cree,38.0,4.560338498155697,Male,University of Alberta BFA Thompson Rivers University Honourary DLitt1,Yes,,Sucker Creek Alberta Canada,1964-01-06,,,1994
Shaun White,1986-09-03,M,1.73,White people,24.0,4.559860929160597,Male,,,,,1986-09-03,,,
Marcia Bennett,,F,1.63,,,4.559635579563735,,,,,,,,,
David Suchet,1946-05-02,M,1.7,English people,36.0,4.559524352271419,Male,London Academy of Music and Dramatic Art,Yes,,Paddington London England1,1946-05-02,,2,1969
James Ransone,1979-06-02,M,1.75,,32.0,4.5590478769607,Male,,,,Baltimore Maryland US,1979-06-02,,1,2001
Sean Faris,1982-03-25,M,1.83,,22.0,4.55886424335964,Male,,,,Houston Texas US,1982-03-25,,1,2001
Ashley Hamilton,1974-09-30,M,1.93,,19.0,4.558715305043978,Male,,,Track,Los Angeles California US,1974-09-30,,1,1993
Nicholle Tom,1978-03-23,F,1.71,,15.0,4.558715305043978,Female,,,,Hinsdale Illinois US,1978-03-23,,,1990
Tyler Hoechlin,1987-09-11,M,1.83,,14.0,4.558709960599574,,,,,Corona California US,1987-09-11,,,1998
Li Bingbing,1973-02-27,F,1.65,,35.0,4.558651791911438,Female,Shanghai Theatre Academy,Yes,,Wuchang Heilongjiang China,1973-02-27,,,1994
Ming-Na,1963-11-20,F,1.63,Chinese Americans,29.0,4.558596862962356,Female,Carnegie Mellon University BFA,Yes,,Coloane Portuguese Macau,1963-11-20,United States,2,1985
Richard Masur,1948-11-20,M,1.85,,31.0,4.558306784331607,Male,Yale University,,,New York City US,1948-11-20,,,1974
Gedde Watanabe,1955-06-26,M,1.702,,28.0,4.55825527385351,Male,American Conservatory Theater,Yes,,Ogden Utah US,1955-06-26,,,1976
Miles Teller,1987-02-20,M,1.83,,23.0,4.558133868112169,Male,New York University BFA,Yes,Baseball,Downingtown Pennsylvania US,1987-02-20,,,2004
Mariska Hargitay,1964-01-23,F,1.721,German Americans,27.0,4.557964840843104,Female,University of California Los Angeles,Yes,,Santa Monica California US,1964-01-23,,3,1984
Grace Jones,1948-05-19,F,1.753,,36.0,4.557599449439443,Female,Onondaga Community College,,,Spanish Town Saint Catherine Crown Colony of Jamaica,1948-05-19,"Jamaica, United States1",1,1973
Alyson Hannigan,1974-03-24,F,1.65,Irish Americans,14.0,4.557585387427733,,California State University Northridge BA,,,Washington DC US,1974-03-24,,2,1986
George Kennedy,1925-02-18,M,1.9,,59.0,4.557412038369329,Male,,,Ballet,New York City US,1925-02-18,,6,1956
Terry Farrell,1963-11-19,F,1.82,,22.0,4.55733850853504,,,,,,,,,
Josh Mostel,1946-12-21,M,1.75,,35.0,4.55649506282006,Male,,,Dance,New York City US,1946-12-21,,,1971
Wil Wheaton,1972-07-29,M,1.8,,9.0,4.556432856305947,Male,,,,Burbank California,1972-07-29,,2,1980
Mike Binder,1958-06-02,M,1.72,,42.0,4.556425766970079,Male,,,Dance,Detroit Michigan US,1958-06-02,,2,
Ethan Hawke,1970-11-06,M,1.79,White Americans,14.0,4.556140903737927,Male,"Carnegie Mellon University, New York University",Yes,,Austin Texas US,1970-11-06,,4,1985
Jamal Duff,1979-02-19,M,2.03,,28.0,4.555763282083778,Male,,,Football,Columbus Ohio,1972-03-11,,,
Lauren Storm,1987-01-02,F,1.6,Jewish people,20.0,4.555763282083778,Female,,,,Chicago Illinois US,1987-01-02,,,2001
Gary Stretch,1968-11-04,M,1.829,British,36.0,4.555744305617018,Male,,,,St Helens Lancashire England,1965-11-04,,,
Joan Rivers,1933-06-08,F,1.575,Jewish people,54.0,4.554766367387028,Female,Connecticut CollegeBarnard College BA,,,Brooklyn,1933-06-08,,,1957
Gaius Charles,1983-05-02,M,1.8,African Americans,25.0,4.554444672294742,Male,Carnegie Mellon University BFADrew University MA,Yes,,Manhattan New York US,1983-05-02,,,2006
Jon Bernthal,1976-09-20,M,1.78,,29.0,4.553880276180722,Male,Skidmore CollegeHarvard University GrDip,Yes,Baseball,Washington DC US,1976-09-20,,3,2002
Hannah Taylor-Gordon,1987-03-06,F,1.74,Jewish people,7.0,4.553190471799455,Female,Lee Strasberg Theatre and Film InstituteLondon Academy of Music and Dramatic Art,,,London England,1987-03-06,,,
Martin Donovan,1957-08-19,M,1.85,Irish Americans,42.0,4.553099456659457,Male,,Yes,,Reseda California US,1957-08-19,,2,1982
Sage Stallone,1976-05-05,M,1.78,,14.0,4.553051888469295,Male,North Carolina School of the Arts,,,Los Angeles California US,1976-05-05,,,1990
Tim Kang,1973-03-16,M,1.791,Korean Americans,31.0,4.55301582456815,Male,University of California Berkeley BAHarvard University MFA,Yes,,San Francisco California US,1973-03-16,,1,2002
Judd Hirsch,1935-03-15,M,1.829,Jewish people,45.0,4.552523420628138,Male,City College of New York BSAmerican Academy of Dramatic Arts,Yes,,New York City US,1935-03-15,,3,1959
Mary Stavin,1957-08-20,F,1.72,,27.0,4.552468715718114,Female,,,Football,Örebro County Sweden,1957-08-20,,1,1981
Kaya Scodelario,1992-03-13,F,1.68,British,16.0,4.55229867859288,Female,,,Dance,Haywards Heath West Sussex England,1992-03-13,,2,2006
Charlie Day,1976-02-09,M,1.69,,26.0,4.552197583626131,Male,Merrimack College BA,Yes,,New York City US,1976-02-09,,1,1997
Leah Remini,1970-06-15,F,1.6,,32.0,4.55216663161916,,New York University currently attending,,,New York City US,1970-06-15,,1,1988
Kathleen Quinlan,1954-11-19,F,1.65,,33.0,4.551801367773457,Female,,,,Pasadena California US,1954-11-19,,1,1972
Will Yun Lee,1971-05-22,M,1.75,Korean Americans,31.0,4.551652627674648,Male,University of California Berkeley,,,Arlington Virginia US,1971-03-22,,1,1997
Jane Asher,1946-04-05,F,1.65,,60.0,4.551470185894327,Female,,Yes,,Willesden Middlesex England,1946-04-05,,3,1952
Seth Meyers,1973-12-28,M,1.83,Jewish people,34.0,4.551206545641817,Male,Northwestern University BA,,,Evanston Illinois,1973-12-28,,3,2001
Mara Wilson,1987-07-24,F,1.63,,6.0,4.550837798781321,Female,New York University BFA,Yes,,Burbank California US,1987-07-24,,,1993
Kim Coates,1959-01-02,M,1.88,Canadian Americans,32.0,4.550626047339402,Male,,,,Saskatoon Saskatchewan Canada,1958-02-21,"Canadian, American",2,1986
